donor_id,name,phone,email,birthday,donation_type,donation_amount,payment_method,join_date,status,interest_area
D0001,신우아,010-2009-3616,shin8620@daum.net,2000-08-25,일시후원,10000,간편결제,2023-12-19,완료,장애인복지
D0002,오현예,010-1947-8127,oh9606@daum.net,1998-02-03,정기후원,10000,신용카드,2026-03-06,활성,환경보호
D0003,신지진,010-5626-8948,shin3040@naver.com,1994-05-06,일시후원,200000,간편결제,2024-11-05,완료,환경보호
D0004,서수하,010-2307-5262,seo6569@naver.com,1978-09-13,정기후원,100000,계좌이체,2025-08-20,활성,재난구호
D0005,서은은,010-3162-1127,seo7371@nate.com,2002-10-03,정기후원,5000,간편결제,2026-01-04,활성,다문화가정
D0006,박훈희,010-3056-4371,park6149@hanmail.net,1961-03-24,정기후원,10000,계좌이체,2024-03-10,활성,재난구호
D0007,서서영,010-3927-2199,seo3625@naver.com,1996-12-24,정기후원,10000,간편결제,2023-03-20,활성,장애인복지
D0008,서철경,010-5795-9673,seo8510@gmail.com,1994-09-07,정기후원,30000,신용카드,2024-01-05,활성,환경보호
D0009,송성호,010-2511-2070,song6362@nate.com,2005-04-07,정기후원,100000,신용카드,2026-01-17,활성,환경보호
D0010,전훈혜,010-9615-5141,jeon3490@naver.com,1971-09-23,정기후원,20000,간편결제,2024-11-16,활성,다문화가정
D0011,김철태,010-2452-2068,kim8619@daum.net,1995-07-03,정기후원,20000,신용카드,2024-05-16,활성,장애인복지
D0012,김수미,010-8839-5582,kim2511@nate.com,1986-06-20,정기후원,20000,계좌이체,2024-03-29,활성,환경보호
D0013,박혜,010-3030-7423,park9895@naver.com,1974-10-22,정기후원,20000,신용카드,2024-03-25,활성,노인복지
D0014,전희도,010-2879-8847,jeon9084@daum.net,1964-03-16,정기후원,20000,간편결제,2025-07-16,활성,아동복지
D0015,안준지,010-7187-7578,ahn4418@daum.net,1994-07-06,일시후원,50000,간편결제,2025-08-03,완료,재난구호
D0016,황민,010-7667-2924,hwang9667@daum.net,1999-01-20,일시후원,200000,계좌이체,2023-07-02,완료,아동복지
D0017,오민,010-8088-5727,oh8503@daum.net,1958-11-12,정기후원,20000,간편결제,2023-01-24,활성,재난구호
D0018,한서선,010-6293-1758,han2211@nate.com,1968-09-04,정기후원,5000,계좌이체,2023-08-16,활성,장애인복지
D0019,박원,010-7481-2220,park3544@gmail.com,1995-08-29,정기후원,5000,계좌이체,2023-10-02,활성,아동복지
D0020,신우서,010-3436-6079,shin2665@gmail.com,1995-02-01,정기후원,100000,계좌이체,2024-10-13,활성,다문화가정
D0021,한우윤,010-3840-6986,han4771@daum.net,1964-05-06,정기후원,100000,계좌이체,2024-09-14,활성,재난구호
D0022,신원준,010-6458-8802,shin9448@nate.com,1966-11-01,정기후원,20000,신용카드,2025-08-29,활성,아동복지
D0023,장원도,010-3351-3842,jang24@nate.com,2002-09-29,일시후원,200000,계좌이체,2025-11-03,완료,노인복지
D0024,권은경,010-1620-8821,kwon2868@naver.com,2002-06-12,정기후원,50000,계좌이체,2024-05-16,활성,아동복지
D0025,전미,010-4868-8017,jeon6911@nate.com,1976-01-15,정기후원,20000,신용카드,2023-10-14,활성,재난구호
D0026,이아도,010-3855-5415,lee90@naver.com,1979-12-15,일시후원,50000,간편결제,2026-01-17,완료,재난구호
